,sample index,Time_Stamps,audio_file_name,image_file_name,class_name,class_name_v2,Layer number,Sample number,class_name_v3,X,Y,Z,Vx,Vy,Vz,Speed
23,24,0.92,sample_21_24.wav,sample_21_24.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.02,-0.009,0.077,0.0,-0.026,0.081
24,25,0.96,sample_21_25.wav,sample_21_25.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.019,-0.009,-0.127,-0.152,-0.127,0.235
25,26,1.0,sample_21_26.wav,sample_21_26.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.018,-0.008,0.076,-0.025,0.025,0.084
26,27,1.04,sample_21_27.wav,sample_21_27.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.018,-0.008,0.0,-0.076,0.076,0.107
27,28,1.08,sample_21_28.wav,sample_21_28.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.017,-0.007,0.049,-0.025,0.123,0.135
28,29,1.12,sample_21_29.wav,sample_21_29.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.017,-0.007,0.0,-0.026,0.154,0.156
29,30,1.16,sample_21_30.wav,sample_21_30.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.017,-0.007,0.051,0.051,0.101,0.124
30,31,1.2,sample_21_31.wav,sample_21_31.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.016,-0.007,-0.122,-0.098,0.024,0.159
31,32,1.24,sample_21_32.wav,sample_21_32.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.006,0.016,-0.007,0.119,0.071,0.024,0.14
32,33,1.28,sample_21_33.wav,sample_21_33.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.015,-0.007,-0.051,-0.076,0.051,0.104
33,34,1.32,sample_21_34.wav,sample_21_34.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.005,0.015,-0.007,0.0,0.049,0.0,0.049
34,35,1.36,sample_21_35.wav,sample_21_35.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.014,-0.007,-0.124,-0.124,0.0,0.176
35,36,1.4000000000000001,sample_21_36.wav,sample_21_36.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.014,-0.007,0.05,0.1,-0.05,0.123
36,37,1.44,sample_21_37.wav,sample_21_37.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.014,-0.008,0.051,0.051,-0.051,0.088
37,38,1.48,sample_21_38.wav,sample_21_38.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.014,-0.008,0.0,0.05,-0.151,0.159
38,39,1.52,sample_21_39.wav,sample_21_39.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.014,-0.009,0.049,-0.025,0.049,0.074
39,40,1.56,sample_21_40.wav,sample_21_40.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.013,-0.009,0.0,-0.049,0.049,0.069
40,41,1.6,sample_21_41.wav,sample_21_41.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.004,0.013,-0.01,0.0,0.0,-0.074,0.074
41,42,1.6400000000000001,sample_21_42.wav,sample_21_42.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.003,0.013,-0.011,-0.05,-0.101,0.0,0.113
42,43,1.68,sample_21_43.wav,sample_21_43.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.002,0.012,-0.012,-0.198,-0.124,0.0,0.234
43,44,1.72,sample_21_44.wav,sample_21_44.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.002,0.012,-0.013,-0.074,-0.025,-0.049,0.093
44,45,1.76,sample_21_45.wav,sample_21_45.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.002,0.012,-0.015,-0.1,-0.075,-0.15,0.195
45,46,1.8,sample_21_46.wav,sample_21_46.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.001,0.012,-0.016,0.0,0.0,0.0,0.0
46,47,1.84,sample_21_47.wav,sample_21_47.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.001,0.012,-0.018,-0.051,0.076,-0.051,0.105
47,48,1.8800000000000001,sample_21_48.wav,sample_21_48.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.001,0.012,-0.018,0.051,0.154,-0.077,0.179
48,49,1.92,sample_21_49.wav,sample_21_49.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.0,0.012,-0.02,-0.197,-0.099,0.0,0.22
49,50,1.96,sample_21_50.wav,sample_21_50.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.0,0.012,-0.021,-0.051,0.101,-0.127,0.17
50,51,2.0,sample_21_51.wav,sample_21_51.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.0,0.012,-0.022,0.075,0.125,-0.075,0.163
51,52,2.04,sample_21_52.wav,sample_21_52.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.001,0.012,-0.023,-0.05,0.025,-0.15,0.16
52,53,2.08,sample_21_53.wav,sample_21_53.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.024,-0.125,0.0,-0.05,0.135
53,54,2.12,sample_21_54.wav,sample_21_54.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.024,-0.128,-0.051,-0.026,0.14
54,55,2.16,sample_21_55.wav,sample_21_55.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.025,-0.049,-0.049,-0.146,0.162
55,56,2.2,sample_21_56.wav,sample_21_56.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.025,-0.052,-0.129,0.078,0.159
56,57,2.24,sample_21_57.wav,sample_21_57.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.026,0.0,-0.025,-0.101,0.104
57,58,2.2800000000000002,sample_21_58.wav,sample_21_58.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.002,0.011,-0.027,-0.05,0.05,0.05,0.087
58,59,2.32,sample_21_59.wav,sample_21_59.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.01,-0.027,0.0,-0.077,0.077,0.108
59,60,2.36,sample_21_60.wav,sample_21_60.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.01,-0.027,0.0,0.0,0.076,0.076
60,61,2.4,sample_21_61.wav,sample_21_61.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.01,-0.028,0.073,0.0,-0.049,0.088
61,62,2.44,sample_21_62.wav,sample_21_62.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.01,-0.028,0.0,-0.127,-0.101,0.162
62,63,2.48,sample_21_63.wav,sample_21_63.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.009,-0.028,0.05,-0.074,0.025,0.093
63,64,2.52,sample_21_64.wav,sample_21_64.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.01,-0.029,0.0,0.049,-0.123,0.132
64,65,2.56,sample_21_65.wav,sample_21_65.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.009,-0.029,-0.127,0.0,-0.101,0.162
65,66,2.6,sample_21_66.wav,sample_21_66.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.009,-0.029,0.05,0.0,0.0,0.05
66,67,2.64,sample_21_67.wav,sample_21_67.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.009,-0.029,0.0,0.0,0.077,0.077
67,68,2.68,sample_21_68.wav,sample_21_68.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.004,0.009,-0.028,-0.051,-0.051,0.077,0.105
68,69,2.72,sample_21_69.wav,sample_21_69.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.004,0.008,-0.029,-0.077,-0.102,-0.026,0.13
69,70,2.7600000000000002,sample_21_70.wav,sample_21_70.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.003,0.009,-0.029,0.125,0.075,-0.05,0.154
70,71,2.8000000000000003,sample_21_71.wav,sample_21_71.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.004,0.008,-0.029,0.0,-0.026,-0.129,0.132
71,72,2.84,sample_21_72.wav,sample_21_72.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.005,0.008,-0.029,-0.177,-0.151,0.05,0.238
72,73,2.88,sample_21_73.wav,sample_21_73.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.004,0.008,-0.029,0.05,0.0,0.124,0.134
73,74,2.92,sample_21_74.wav,sample_21_74.jpg,Defect-free,Defect-free,1.0,21,Defect-free,-0.004,0.007,-0.028,0.0,-0.076,0.202,0.216
74,75,2.96,sample_21_75.wav,sample_21_75.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.002,0.019,-0.049,0.432,0.99,-2.462,2.689
75,76,3.0,sample_21_76.wav,sample_21_76.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.194,-0.016,-0.072,8.057,-4.75,2.263,9.623
76,77,3.04,sample_21_77.wav,sample_21_77.jpg,Defect-free,Defect-free,1.0,21,Defect-free,0.763,-0.175,0.051,19.617,-3.295,2.864,20.097
77,78,3.08,sample_21_78.wav,sample_21_78.jpg,Defect-free,Defect-free,1.0,21,Defect-free,1.505,-0.251,0.132,23.358,-1.395,2.789,23.566
78,79,3.12,sample_21_79.wav,sample_21_79.jpg,Defect-free,Defect-free,1.0,21,Defect-free,2.66,-0.24,0.157,28.481,2.1,-0.049,28.558
79,80,3.16,sample_21_80.wav,sample_21_80.jpg,Defect-free,Defect-free,1.0,21,Defect-free,3.594,-0.119,0.078,24.881,2.688,-2.542,25.154
80,81,3.2,sample_21_81.wav,sample_21_81.jpg,Defect-free,Defect-free,1.0,21,Defect-free,4.691,-0.049,-0.008,24.566,1.151,-1.451,24.636
81,82,3.24,sample_21_82.wav,sample_21_82.jpg,Defect-free,Defect-free,1.0,21,Defect-free,5.655,-0.037,-0.049,24.306,0.222,-0.763,24.319
82,83,3.2800000000000002,sample_21_83.wav,sample_21_83.jpg,Defect-free,Defect-free,1.0,21,Defect-free,6.646,-0.037,-0.047,24.83,-0.351,0.979,24.852
83,84,3.3200000000000003,sample_21_84.wav,sample_21_84.jpg,Defect-free,Defect-free,1.0,21,Defect-free,7.527,-0.032,-0.041,23.0,-0.121,-0.363,23.004
84,85,3.36,sample_21_85.wav,sample_21_85.jpg,Defect-free,Defect-free,1.0,21,Defect-free,8.608,-0.041,-0.015,24.935,0.1,0.251,24.937
85,86,3.4,sample_21_86.wav,sample_21_86.jpg,Defect-free,Defect-free,1.0,21,Defect-free,9.594,-0.042,-0.013,24.114,0.884,-1.288,24.164
86,87,3.44,sample_21_87.wav,sample_21_87.jpg,Defect-free,Defect-free,1.0,21,Defect-free,10.586,-0.052,-0.002,24.099,0.632,-0.808,24.121
87,88,3.48,sample_21_88.wav,sample_21_88.jpg,Defect-free,Defect-free,1.0,21,Defect-free,11.483,-0.062,0.006,24.848,-1.018,1.191,24.897
88,89,3.52,sample_21_89.wav,sample_21_89.jpg,Defect-free,Defect-free,1.0,21,Defect-free,12.572,-0.066,0.004,24.832,-0.376,0.376,24.837
89,90,3.56,sample_21_90.wav,sample_21_90.jpg,Defect-free,Defect-free,1.0,21,Defect-free,13.566,-0.07,0.005,26.539,-0.235,0.705,26.55
90,91,3.6,sample_21_91.wav,sample_21_91.jpg,Defect-free,Defect-free,1.0,21,Defect-free,14.557,-0.059,-0.006,25.178,-0.27,0.54,25.185
91,92,3.64,sample_21_92.wav,sample_21_92.jpg,Defect-free,Defect-free,1.0,21,Defect-free,15.57,-0.062,-0.005,25.494,-0.228,0.051,25.495
92,93,3.68,sample_21_93.wav,sample_21_93.jpg,Defect-free,Defect-free,1.0,21,Defect-free,16.475,-0.052,-0.001,25.122,-0.1,0.125,25.122
93,94,3.72,sample_21_94.wav,sample_21_94.jpg,Defect-free,Defect-free,1.0,21,Defect-free,17.569,-0.046,-0.003,25.1,0.4,-0.175,25.104
94,95,3.7600000000000002,sample_21_95.wav,sample_21_95.jpg,Defect-free,Defect-free,1.0,21,,18.569,-0.048,-0.012,25.482,0.427,-0.552,25.491
95,96,3.8000000000000003,sample_21_96.wav,sample_21_96.jpg,Defect-free,Defect-free,1.0,21,,19.455,-0.041,-0.026,24.365,1.004,-1.455,24.429
96,97,3.84,sample_21_97.wav,sample_21_97.jpg,Laser-off,Laser-off,0.0,21,,20.464,-0.039,-0.017,24.88,0.811,-0.583,24.9
97,98,3.88,sample_21_98.wav,sample_21_98.jpg,Laser-off,Laser-off,0.0,21,Laser-off,21.463,-0.043,-0.017,24.026,-0.074,-0.124,24.027
98,99,3.92,sample_21_99.wav,sample_21_99.jpg,Laser-off,Laser-off,0.0,21,Laser-off,22.56,-0.045,-0.019,24.098,0.866,-1.014,24.134
99,100,3.96,sample_21_100.wav,sample_21_100.jpg,Laser-off,Laser-off,0.0,21,,23.549,-0.045,-0.023,25.379,0.279,0.558,25.387
100,101,4.0,sample_21_101.wav,sample_21_101.jpg,Laser-off,Laser-off,0.0,21,,24.561,-0.046,-0.017,25.658,-0.101,0.151,25.659
101,102,4.04,sample_21_102.wav,sample_21_102.jpg,Laser-off,Laser-off,0.0,21,,25.471,-0.037,-0.017,25.77,-0.377,0.427,25.776
102,103,4.08,sample_21_103.wav,sample_21_103.jpg,Defect-free,Defect-free,2.0,21,,26.472,-0.037,-0.023,24.922,0.0,-0.402,24.925
103,104,4.12,sample_21_104.wav,sample_21_104.jpg,Defect-free,Defect-free,2.0,21,,27.571,-0.038,-0.021,25.915,-0.025,0.204,25.916
104,105,4.16,sample_21_105.wav,sample_21_105.jpg,Defect-free,Defect-free,2.0,21,,28.463,-0.033,-0.023,25.435,0.278,0.177,25.437
105,106,4.2,sample_21_106.wav,sample_21_106.jpg,Defect-free,Defect-free,2.0,21,Defect-free,29.572,-0.032,-0.008,24.151,-0.195,0.755,24.164
106,107,4.24,sample_21_107.wav,sample_21_107.jpg,Defect-free,Defect-free,2.0,21,Defect-free,30.567,-0.032,-0.013,25.691,-0.488,-0.077,25.696
107,108,4.28,sample_21_108.wav,sample_21_108.jpg,Defect-free,Defect-free,2.0,21,Defect-free,31.463,-0.036,-0.019,23.781,0.024,-0.317,23.783
108,109,4.32,sample_21_109.wav,sample_21_109.jpg,Defect-free,Defect-free,2.0,21,Defect-free,32.457,-0.036,-0.018,24.314,0.666,-0.641,24.332
109,110,4.36,sample_21_110.wav,sample_21_110.jpg,Defect-free,Defect-free,2.0,21,Defect-free,33.556,-0.021,-0.027,26.253,0.643,-0.129,26.261
110,111,4.4,sample_21_111.wav,sample_21_111.jpg,Defect-free,Defect-free,2.0,21,Defect-free,34.574,-0.014,-0.029,24.294,0.275,-1.453,24.339
111,112,4.44,sample_21_112.wav,sample_21_112.jpg,Defect-free,Defect-free,2.0,21,Defect-free,35.577,-0.018,-0.041,23.43,0.267,-0.775,23.444
112,113,4.48,sample_21_113.wav,sample_21_113.jpg,Defect-free,Defect-free,2.0,21,Defect-free,36.571,-0.028,-0.03,24.33,0.2,-0.375,24.334
113,114,4.5200000000000005,sample_21_114.wav,sample_21_114.jpg,Defect-free,Defect-free,2.0,21,Defect-free,37.576,-0.028,-0.023,25.85,0.506,0.481,25.86
114,115,4.5600000000000005,sample_21_115.wav,sample_21_115.jpg,Defect-free,Defect-free,2.0,21,Defect-free,38.581,-0.015,-0.034,25.031,0.543,-0.247,25.038
115,116,4.6000000000000005,sample_21_116.wav,sample_21_116.jpg,Defect-free,Defect-free,2.0,21,Defect-free,39.58,-0.011,-0.036,25.751,-0.708,0.961,25.779
116,117,4.64,sample_21_117.wav,sample_21_117.jpg,Defect-free,Defect-free,2.0,21,Defect-free,40.468,-0.013,-0.041,24.812,-0.481,-0.202,24.818
117,118,4.68,sample_21_118.wav,sample_21_118.jpg,Defect-free,Defect-free,2.0,21,Defect-free,41.567,-0.023,-0.028,24.655,-0.367,0.196,24.659
118,119,4.72,sample_21_119.wav,sample_21_119.jpg,Defect-free,Defect-free,2.0,21,Defect-free,42.558,-0.015,-0.035,25.356,0.152,-0.076,25.356
119,120,4.76,sample_21_120.wav,sample_21_120.jpg,Defect-free,Defect-free,2.0,21,Defect-free,43.563,-0.004,-0.042,25.348,0.715,-0.868,25.373
120,121,4.8,sample_21_121.wav,sample_21_121.jpg,Defect-free,Defect-free,2.0,21,Defect-free,44.574,-0.004,-0.038,25.242,-0.674,0.874,25.266
121,122,4.84,sample_21_122.wav,sample_21_122.jpg,Defect-free,Defect-free,2.0,21,Defect-free,45.572,-0.007,-0.038,25.11,-0.48,0.101,25.114
122,123,4.88,sample_21_123.wav,sample_21_123.jpg,Defect-free,Defect-free,2.0,21,Defect-free,46.472,-0.013,-0.044,24.425,-0.074,-0.569,24.432
123,124,4.92,sample_21_124.wav,sample_21_124.jpg,Defect-free,Defect-free,2.0,21,Defect-free,47.571,-0.005,-0.056,25.129,0.27,-0.074,25.131
124,125,4.96,sample_21_125.wav,sample_21_125.jpg,Defect-free,Defect-free,2.0,21,Defect-free,48.57,-0.003,-0.05,25.259,0.251,0.377,25.263
125,126,5.0,sample_21_126.wav,sample_21_126.jpg,Defect-free,Defect-free,2.0,21,Defect-free,49.572,-0.013,-0.035,25.514,-0.304,0.0,25.516
126,127,5.04,sample_21_127.wav,sample_21_127.jpg,Defect-free,Defect-free,2.0,21,Defect-free,50.571,-0.021,-0.033,24.149,0.296,-1.011,24.172
127,128,5.08,sample_21_128.wav,sample_21_128.jpg,Defect-free,Defect-free,2.0,21,Defect-free,51.57,-0.02,-0.033,24.142,0.577,-1.054,24.172
128,129,5.12,sample_21_129.wav,sample_21_129.jpg,Defect-free,Defect-free,2.0,21,Defect-free,52.571,-0.012,-0.031,24.571,0.902,-0.726,24.598
129,130,5.16,sample_21_130.wav,sample_21_130.jpg,Defect-free,Defect-free,2.0,21,Defect-free,53.579,-0.008,-0.018,23.973,0.625,-0.913,23.998
130,131,5.2,sample_21_131.wav,sample_21_131.jpg,Defect-free,Defect-free,2.0,21,Defect-free,54.584,-0.011,-0.026,24.999,0.075,-0.753,25.01
131,132,5.24,sample_21_132.wav,sample_21_132.jpg,Defect-free,Defect-free,2.0,21,Defect-free,55.48,-0.015,-0.032,24.523,-0.786,0.541,24.542
132,133,5.28,sample_21_133.wav,sample_21_133.jpg,Defect-free,Defect-free,2.0,21,Defect-free,56.48,-0.017,-0.023,26.278,-0.937,1.772,26.354
133,134,5.32,sample_21_134.wav,sample_21_134.jpg,Defect-free,Defect-free,2.0,21,Defect-free,57.591,-0.01,-0.019,57.538,-0.666,2.555,57.599
134,135,5.36,sample_21_135.wav,sample_21_135.jpg,Defect-free,Defect-free,2.0,21,Defect-free,58.593,-0.003,-0.025,25.521,0.025,-0.025,25.521
135,136,5.4,sample_21_136.wav,sample_21_136.jpg,Defect-free,Defect-free,2.0,21,Defect-free,59.473,-0.007,-0.046,25.213,-0.373,0.523,25.221
136,137,5.44,sample_21_137.wav,sample_21_137.jpg,Defect-free,Defect-free,2.0,21,Defect-free,60.569,-0.017,-0.045,25.157,-0.354,0.0,25.159
137,138,5.48,sample_21_138.wav,sample_21_138.jpg,Defect-free,Defect-free,2.0,21,Defect-free,61.472,-0.01,-0.044,24.802,-0.322,0.867,24.819
138,139,5.5200000000000005,sample_21_139.wav,sample_21_139.jpg,Defect-free,Defect-free,2.0,21,Defect-free,62.568,-0.0,-0.036,24.347,-0.539,0.735,24.364
139,140,5.5600000000000005,sample_21_140.wav,sample_21_140.jpg,Defect-free,Defect-free,2.0,21,Defect-free,63.573,0.003,-0.04,25.554,0.255,-0.408,25.558
140,141,5.6000000000000005,sample_21_141.wav,sample_21_141.jpg,Defect-free,Defect-free,2.0,21,Defect-free,64.58,-0.002,-0.037,25.736,-0.076,0.431,25.74
141,142,5.64,sample_21_142.wav,sample_21_142.jpg,Defect-free,Defect-free,2.0,21,Defect-free,65.581,-0.005,-0.036,24.649,0.049,-0.492,24.654
142,143,5.68,sample_21_143.wav,sample_21_143.jpg,Defect-free,Defect-free,2.0,21,Defect-free,66.483,-0.002,-0.033,24.547,0.318,0.049,24.549
143,144,5.72,sample_21_144.wav,sample_21_144.jpg,Defect-free,Defect-free,2.0,21,Defect-free,67.583,0.007,-0.049,24.37,-0.22,0.049,24.371
144,145,5.76,sample_21_145.wav,sample_21_145.jpg,Defect-free,Defect-free,2.0,21,Defect-free,68.587,-0.002,-0.037,24.15,-0.12,-0.12,24.15
145,146,5.8,sample_21_146.wav,sample_21_146.jpg,Defect-free,Defect-free,2.0,21,Defect-free,69.575,-0.007,-0.026,25.329,0.126,0.302,25.331
146,147,5.84,sample_21_147.wav,sample_21_147.jpg,Defect-free,Defect-free,2.0,21,Defect-free,70.487,-0.007,-0.018,25.284,0.855,-1.056,25.321
147,148,5.88,sample_21_148.wav,sample_21_148.jpg,Defect-free,Defect-free,2.0,21,Defect-free,71.489,0.01,-0.037,24.151,1.029,-1.102,24.198
148,149,5.92,sample_21_149.wav,sample_21_149.jpg,Defect-free,Defect-free,2.0,21,Defect-free,72.569,0.007,-0.045,24.678,-0.432,-0.051,24.682
149,150,5.96,sample_21_150.wav,sample_21_150.jpg,Defect-free,Defect-free,2.0,21,Defect-free,73.565,-0.009,-0.031,24.692,0.076,-0.734,24.703
150,151,6.0,sample_21_151.wav,sample_21_151.jpg,Defect-free,Defect-free,2.0,21,Defect-free,74.563,-0.011,-0.034,24.578,0.442,-0.344,24.585
151,152,6.04,sample_21_152.wav,sample_21_152.jpg,Defect-free,Defect-free,2.0,21,Defect-free,75.567,-0.004,-0.04,24.845,1.518,-1.645,24.946
152,153,6.08,sample_21_153.wav,sample_21_153.jpg,Defect-free,Defect-free,2.0,21,Defect-free,76.576,0.003,-0.036,24.562,0.652,-0.477,24.575
153,154,6.12,sample_21_154.wav,sample_21_154.jpg,Defect-free,Defect-free,2.0,21,Defect-free,77.586,-0.002,-0.024,24.045,-0.049,-0.49,24.05
154,155,6.16,sample_21_155.wav,sample_21_155.jpg,Defect-free,Defect-free,2.0,21,Defect-free,78.589,-0.014,-0.019,24.201,0.026,-0.871,24.217
155,156,6.2,sample_21_156.wav,sample_21_156.jpg,Defect-free,Defect-free,2.0,21,Defect-free,79.581,-0.018,-0.032,24.526,0.025,-0.152,24.527
156,157,6.24,sample_21_157.wav,sample_21_157.jpg,Defect-free,Defect-free,2.0,21,Defect-free,80.577,-0.011,-0.036,24.462,0.646,-0.149,24.471
157,158,6.28,sample_21_158.wav,sample_21_158.jpg,Defect-free,Defect-free,2.0,21,Defect-free,81.484,-0.004,-0.018,25.632,-0.172,1.525,25.678
158,159,6.32,sample_21_159.wav,sample_21_159.jpg,Defect-free,Defect-free,2.0,21,Defect-free,82.58,-0.005,-0.022,25.417,0.051,0.581,25.424
159,160,6.36,sample_21_160.wav,sample_21_160.jpg,Defect-free,Defect-free,2.0,21,Defect-free,83.574,-0.011,-0.031,24.573,-0.422,-0.174,24.577
160,161,6.4,sample_21_161.wav,sample_21_161.jpg,Defect-free,Defect-free,2.0,21,Defect-free,84.573,-0.01,-0.041,25.422,-0.407,0.662,25.434
161,162,6.44,sample_21_162.wav,sample_21_162.jpg,Defect-free,Defect-free,2.0,21,Defect-free,85.576,-0.002,-0.037,25.17,-0.076,0.581,25.177
162,163,6.48,sample_21_163.wav,sample_21_163.jpg,Defect-free,Defect-free,2.0,21,Defect-free,86.58,0.002,-0.041,25.358,-0.369,0.221,25.362
163,164,6.5200000000000005,sample_21_164.wav,sample_21_164.jpg,Defect-free,Defect-free,2.0,21,Defect-free,87.586,-0.006,-0.042,26.053,-0.33,0.635,26.062
